username,id,eventname,component,action,target,objecttable,objectid,crud,edulevel,contextid,contextlevel,contextinstanceid,courseid,anonymous,other,timecreated,origin,ip,relatedusername,realusername
user8540069828419911681,25017,\core\event\course_viewed,core,viewed,course,,,r,2,107483,50,5282,5282,0,N;,1417771086,web,0.0.0.0,,
user6442803380426375169,37433,\core\event\course_viewed,core,viewed,course,,,r,2,107483,50,5282,5282,0,N;,1417859881,web,0.0.0.0,,
user8540069828419911681,70090,\core\event\course_viewed,core,viewed,course,,,r,2,107483,50,5282,5282,0,N;,1418071759,web,0.0.0.0,,
user6442803380426375169,85705,\core\event\course_viewed,core,viewed,course,,,r,2,107483,50,5282,5282,0,N;,1418158739,web,0.0.0.0,,
user6442803380426375169,127065,\core\event\course_viewed,core,viewed,course,,,r,2,16,50,2,2,0,N;,1418499579,web,0.0.0.0,,
user2882394166283730945,182480,\core\event\course_viewed,core,viewed,course,,,r,2,107483,50,5282,5282,0,N;,1418875866,web,0.0.0.0,,
user1148332538209501185,272409,\core\event\course_viewed,core,viewed,course,,,r,2,107483,50,5282,5282,0,N;,1419689198,web,0.0.0.0,,
user2882394166283730945,353391,\core\event\course_viewed,core,viewed,course,,,r,2,107483,50,5282,5282,0,N;,1420586589,web,0.0.0.0,,
user8472060408562188289,388743,\core\event\course_viewed,core,viewed,course,,,r,2,107483,50,5282,5282,0,N;,1420772915,web,0.0.0.0,,
user6442803380426375169,396553,\core\event\course_viewed,core,viewed,course,,,r,2,107483,50,5282,5282,0,N;,1420804149,web,0.0.0.0,,
user658630967098867713,419290,\core\event\course_viewed,core,viewed,course,,,r,2,107483,50,5282,5282,0,N;,1420864505,web,0.0.0.0,,
user6442803380426375169,422226,\core\event\course_viewed,core,viewed,course,,,r,2,107483,50,5282,5282,0,N;,1420888120,web,0.0.0.0,,
user805341054155882497,463458,\core\event\course_viewed,core,viewed,course,,,r,2,107483,50,5282,5282,0,N;,1420996523,web,0.0.0.0,,